3983e4b,Minh Pham,10 minutes ago,Merge branch 'master' of https://github.com/mpham07/cs3420 Ready to merge to remote repository,,
e3f9bbd,Minh Pham,13 minutes ago,Merge branch 'finalizeVersion1' Generate the final of  version 1,,
787847e,Minh Pham,7 days ago,fixed bug,,
4910144,Minh Pham,7 days ago,fixed bugs,,
b32c045,Minh Pham,7 days ago,fixed bugs,,
5301d56,Minh Pham,7 days ago,fixbugs,,
e76d448,Minh Pham,7 days ago,fixbugs,,
7.07E+08,Minh Pham,7 days ago,fixbugs,,
1ad4402,Minh Pham,8 days ago,fixed bugs,,
44a7e32,Minh Pham,8 days ago,fixed bugs,,
df0b79a,Minh Pham,8 days ago,fixed bugs,,
16083b5,Minh Pham,8 days ago,fixed bugs,,
b6e318a,Minh Pham,8 days ago,fixed bugs,,
2156454,Minh Pham,9 days ago,fixed bugs,,
e52ee43,Minh Pham,9 days ago,done everthing every functions and ready for fixing bugs,,
20ac2cd,Minh Pham,9 days ago,done delete a User,,
071411d,Minh Pham,9 days ago,temp Done Delete a Student,,
11e0c8b,Minh Pham,9 days ago,designed NewStudentVC,,
9f01d5a,Minh Pham,9 days ago,designNewStudentVC,,
d74fcbe,Minh Pham,10 days ago,done ProfileVC,,
9ecd2e0,Minh Pham,11 days ago,fixed bugs,,
a5b65ce,Minh Pham,3 weeks ago,fixed bug,,
f116df9,Minh Pham,3 weeks ago,done DetailGradesVC,,
aca02ac,Minh Pham,3 weeks ago,fixed bugs,,
35cb458,Minh Pham,3 weeks ago,fixed some bugs,,
c6fd425,Minh Pham,3 weeks ago,done ADD DELETE for students' courses,,
d7bdd69,Minh Pham,3 weeks ago,temp created new funcion for get courses,,
49fca4d,Minh Pham,3 weeks ago,commit to push,,
8bc2317,Minh Pham,3 weeks ago,fixed,,
8289f18,Minh Pham,3 weeks ago,temp done ADD courses for a student,,
056d145,Minh Pham,3 weeks ago,done DELETE a course for a student,,
4955924,Minh Pham,3 weeks ago,ready for working on CourseList VC,,
99cce55,Minh Pham,3 weeks ago,done Alert View,,
caf6260,Minh Pham,3 weeks ago,fixed CourseListSysVC,,
08906c1,Minh Pham,3 weeks ago,temp done CourseSys Add, Delete, Update
4f98d26,Minh Pham,3 weeks ago,temp done courseSys VC,,
a2170d5,Minh Pham,3 weeks ago,temp done student VC,,
494907,Minh Pham,3 weeks ago,designed StudentVC,,
3dd91dd,Minh Pham,3 weeks ago,add icon,,
fb1e8bf,Minh Pham,3 weeks ago,fixed some bugs,,
5ac8ca4,Minh Pham,3 weeks ago,temp done for Student Mode,,
15c66f7,Minh Pham,3 weeks ago,fixed menu view StackView,,
90ad5ad,Minh Pham,3 weeks ago,save begore fix some bug in xml source file,,
d74ea36,Minh Pham,3 weeks ago,desgined profile view ui,,
0e45071,Minh Pham,3 weeks ago,added highlight for menu Cell Pressed,,
44283dc,Minh Pham,3 weeks ago,temp done on MenuVC,,
fcb59aa,Minh Pham,3 weeks ago,done design profile View non Stack View,,
c581619,Minh Pham,3 weeks ago,just commit for switch to new branch,,
9b6d03b,Minh Pham,4 weeks ago,implement SlideMenuView,,
a6514c5,Minh Pham,4 weeks ago,Successfully Auth Login and get data uta user,,
05fd8d7,Minh Pham,4 weeks ago,done design LoginView,,
e883f9f,Minh Pham,4 weeks ago,Start Login View VC,,
a7c4a47,Minh Pham,4 weeks ago,done desgin UI on sketch,,
ba8d127,Minh Pham,4 weeks ago,fix sketch,,
0349fa0,Minh Pham,4 weeks ago,designing UI by Sketch,,
b0e593e,Minh Pham,4 weeks ago,Temporary done Webservice,,
0344af9,Minh Pham,4 weeks ago,done fews POST methods including add/delete courses for a student,,
4a6b567,Minh Pham,4 weeks ago,done add delete update for course temporily,,
5372b1b,Minh Pham,4 weeks ago,added 1 more GET method,,
42b459b,Minh Pham,4 weeks ago,refactor Firebase into DataService,,
bd6122d,Minh Pham,4 weeks ago,successfully get data from FB,,
9bb2b4e,Minh Pham,4 weeks ago,First commit of iOS Source code,,
7d43a12,Minh Pham,4 weeks ago,fixed DB JSON Format,,
869d7ad,Minh Pham,4 weeks ago,1st version of DB JSON,,
ebe2fd9,anthonynguyen93,5 weeks ago,Add files via upload,,
ead1579,Minh Pham,5 weeks ago,add UML diagram,,
4f2f252,mpham07,5 weeks ago,Fixed readme.md,,
4a9a451,mpham07,5 weeks ago,fixed readme.md,,
9f44008,Minh Pham,5 weeks ago,Added 2 major folders Doc and Src,,
ded4611,mpham07,5 weeks ago,Modify readme.md,,
068e6c2,Minh Pham,5 weeks ago,First Commit.,,
